participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion,congruent_choice
P063,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P058,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P019,WF-002-NR-F_6,2,WF,002,NR,F,6,Female,Scared,6
P017,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P032,WF-002-NR-F_6,2,WF,002,NR,F,6,Female,Scared,6
P051,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P011,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P008,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P005,WF-002-NR-F_6,2,WF,002,NR,F,6,Female,Scared,6
P025,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P022,WF-002-NR-F_6,1,WF,002,NR,F,6,Female,Scared,6
P065,WF-003-NR-N_4,2,WF,003,NR,N,4,Female,Angry,4
P063,WF-003-NR-N_4,2,WF,003,NR,N,4,Female,Angry,4
p057,WF-003-NR-N_4,2,WF,003,NR,N,4,Female,Angry,4
P035,WF-003-NR-N_4,1,WF,003,NR,N,4,Female,Angry,4
P034,WF-003-NR-N_4,1,WF,003,NR,N,4,Female,Angry,4
P049,WF-003-NR-N_4,1,WF,003,NR,N,4,Female,Angry,4
P047,WF-003-NR-N_4,1,WF,003,NR,N,4,Female,Angry,4
P030,WF-003-NR-N_4,2,WF,003,NR,N,4,Female,Angry,4
P007,WF-003-NR-N_4,1,WF,003,NR,N,4,Female,Angry,4
P024,WF-003-NR-N_4,3,WF,003,NR,N,4,Female,Angry,4
P002,WF-003-NR-N_4,1,WF,003,NR,N,4,Female,Angry,4
P065,WF-003-NR-HC_1,4,WF,003,NR,HC,1,Female,Happy,1
P063,WF-003-NR-HC_1,3,WF,003,NR,HC,1,Female,Happy,1
p057,WF-003-NR-HC_1,4,WF,003,NR,HC,1,Female,Happy,1
