participantID,item,rating,targetType,targetNumber,facialColoration,shownEmotion,emotionChoiceID,target_gender,ratedEmotion
P003,WF-001-NR-F_4,2,WF,001,NR,F,4,Female,Angry
P022,WF-001-NR-F_4,1,WF,001,NR,F,4,Female,Angry
P066,WF-001-NR-F_5,1,WF,001,NR,F,5,Female,Disgusted
P064,WF-001-NR-F_5,5,WF,001,NR,F,5,Female,Disgusted
P056,WF-001-NR-F_5,2,WF,001,NR,F,5,Female,Disgusted
P037,WF-001-NR-F_5,2,WF,001,NR,F,5,Female,Disgusted
P018,WF-001-NR-F_5,1,WF,001,NR,F,5,Female,Disgusted
P013,WF-001-NR-F_5,3,WF,001,NR,F,5,Female,Disgusted
P049,WF-001-NR-F_5,2,WF,001,NR,F,5,Female,Disgusted
P031,WF-001-NR-F_5,1,WF,001,NR,F,5,Female,Disgusted
P045,WF-001-NR-F_5,3,WF,001,NR,F,5,Female,Disgusted
P006,WF-001-NR-F_5,4,WF,001,NR,F,5,Female,Disgusted
P003,WF-001-NR-F_5,2,WF,001,NR,F,5,Female,Disgusted
P022,WF-001-NR-F_5,2,WF,001,NR,F,5,Female,Disgusted
P066,WF-001-NR-F_6,2,WF,001,NR,F,6,Female,Scared
P064,WF-001-NR-F_6,2,WF,001,NR,F,6,Female,Scared
P056,WF-001-NR-F_6,4,WF,001,NR,F,6,Female,Scared
P037,WF-001-NR-F_6,2,WF,001,NR,F,6,Female,Scared
P018,WF-001-NR-F_6,1,WF,001,NR,F,6,Female,Scared
P013,WF-001-NR-F_6,4,WF,001,NR,F,6,Female,Scared
P049,WF-001-NR-F_6,5,WF,001,NR,F,6,Female,Scared
P031,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared
P045,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared
P006,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared
P003,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared
P022,WF-001-NR-F_6,3,WF,001,NR,F,6,Female,Scared
P063,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P058,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P019,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P017,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P032,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P051,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P011,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P008,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P005,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P025,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P022,WF-002-NR-N_1,1,WF,002,NR,N,1,Female,Happy
P063,WF-002-NR-N_2,3,WF,002,NR,N,2,Female,Sad
P058,WF-002-NR-N_2,3,WF,002,NR,N,2,Female,Sad
P019,WF-002-NR-N_2,2,WF,002,NR,N,2,Female,Sad
P017,WF-002-NR-N_2,1,WF,002,NR,N,2,Female,Sad
P032,WF-002-NR-N_2,1,WF,002,NR,N,2,Female,Sad
P051,WF-002-NR-N_2,4,WF,002,NR,N,2,Female,Sad
P011,WF-002-NR-N_2,3,WF,002,NR,N,2,Female,Sad
P008,WF-002-NR-N_2,3,WF,002,NR,N,2,Female,Sad
P005,WF-002-NR-N_2,5,WF,002,NR,N,2,Female,Sad
P025,WF-002-NR-N_2,4,WF,002,NR,N,2,Female,Sad
P022,WF-002-NR-N_2,1,WF,002,NR,N,2,Female,Sad
P063,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
P058,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
P019,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
P017,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
P032,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
P051,WF-002-NR-N_3,3,WF,002,NR,N,3,Female,Surprised
P011,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
P008,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
P005,WF-002-NR-N_3,2,WF,002,NR,N,3,Female,Surprised
P025,WF-002-NR-N_3,1,WF,002,NR,N,3,Female,Surprised
